"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.065776292E0,-1.237925720E-1,7.469467163E-2,9.958341522E0,9.959391034E0
2.075693292E0,-1.302291870E-1,8.262817383E-2,9.966873779E0,9.968067014E0
2.085610292E0,-1.184037781E-1,9.071136475E-2,9.968969421E0,9.970085222E0
2.095527292E0,-9.909393311E-2,8.846603394E-2,9.967771912E0,9.968657017E0
2.105444292E0,-1.022373962E-1,9.385482788E-2,9.963880005E0,9.964846510E0
2.115361292E0,-1.089733887E-1,8.457412720E-2,9.961335297E0,9.962290343E0
2.125278292E0,-1.154100037E-1,8.427474976E-2,9.962083740E0,9.963108659E0
2.135195292E0,-1.257385254E-1,8.128097534E-2,9.958790588E0,9.959916001E0
2.145112292E0,-1.188528442E-1,8.487350464E-2,9.965676270E0,9.966746361E0
2.155029292E0,-1.100212097E-1,8.622070312E-2,9.963730316E0,9.964710758E0
2.164946292E0,-1.098715210E-1,8.397537231E-2,9.960736542E0,9.961696445E0
2.174863292E0,-1.110690308E-1,8.771759033E-2,9.961784363E0,9.962789689E0
2.184780292E0,-1.113684082E-1,8.577163696E-2,9.957892456E0,9.958884569E0
2.194697292E0,-1.136137390E-1,7.978408813E-2,9.962832184E0,9.963799411E0
2.204614292E0,-1.121168518E-1,8.322692871E-2,9.964329071E0,9.965307358E0
2.214530292E0,-1.061293030E-1,8.696914673E-2,9.959688721E0,9.960633839E0
2.224447292E0,-1.155596924E-1,7.783813477E-2,9.961484985E0,9.962459331E0
2.234364292E0,-1.170565796E-1,8.951385498E-2,9.966125336E0,9.967214715E0
2.244281292E0,-1.187031555E-1,9.879455566E-2,9.964329071E0,9.965525808E0
2.254198292E0,-1.118174744E-1,8.232879639E-2,9.963281250E0,9.964248815E0
2.264115292E0,-1.101708984E-1,7.574249268E-2,9.961035919E0,9.961933102E0
2.274032292E0,-1.137634277E-1,7.589218140E-2,9.967771912E0,9.968709978E0
2.283949292E0,-1.206491089E-1,8.352630615E-2,9.966125336E0,9.967205579E0
2.293866292E0,-1.145118713E-1,9.220825195E-2,9.965227203E0,9.966311682E0
2.303783292E0,-1.172062683E-1,8.577163696E-2,9.957293701E0,9.958352873E0
2.313700292E0,-1.137634277E-1,8.128097534E-2,9.961335297E0,9.962316478E0
2.323617292E0,-1.125659180E-1,7.843688965E-2,9.955497437E0,9.956442770E0
2.333534292E0,-1.092727661E-1,8.622070312E-2,9.968969421E0,9.969941117E0
2.343451292E0,-1.213975525E-1,8.562194824E-2,9.962233429E0,9.963340975E0
2.353368292E0,-1.175056458E-1,8.666976929E-2,9.962682495E0,9.963752392E0
2.363285292E0,-1.133143616E-1,8.247848511E-2,9.961335297E0,9.962321202E0
2.373202292E0,-1.122665405E-1,7.978408813E-2,9.957144012E0,9.958096513E0
2.383119292E0,-1.139131165E-1,8.547225952E-2,9.954898682E0,9.955917309E0
2.393036292E0,-1.083746338E-1,8.247848511E-2,9.973759460E0,9.974689245E0
2.402953292E0,-1.107696533E-1,7.649093628E-2,9.961185608E0,9.962095136E0
2.412870292E0,-1.190025330E-1,8.352630615E-2,9.960437164E0,9.961498218E0
2.422787292E0,-1.230441284E-1,8.083190918E-2,9.959988098E0,9.961076075E0
2.432704292E0,-1.249900818E-1,8.337661743E-2,9.964029694E0,9.965162413E0
2.442621292E0,-1.131646729E-1,9.475296021E-2,9.957593079E0,9.958686876E0
2.452538292E0,-1.023870850E-1,8.696914673E-2,9.953102417E0,9.954008965E0
2.462455292E0,-1.104702759E-1,8.816665649E-2,9.959838409E0,9.960841239E0
2.472372292E0,-1.125659180E-1,8.816665649E-2,9.961934052E0,9.962960127E0
2.482289292E0,-1.125659180E-1,8.487350464E-2,9.962981873E0,9.963979245E0
2.492206292E0,-1.203497314E-1,8.202941895E-2,9.964628448E0,9.965692801E0
2.502123292E0,-1.139131165E-1,7.963439941E-2,9.956096191E0,9.957066295E0
2.512040292E0,-1.074765015E-1,9.026229858E-2,9.957293701E0,9.958282800E0
2.521957292E0,-1.106199646E-1,8.472381592E-2,9.963880005E0,9.964854221E0
2.531874292E0,-1.179547119E-1,8.517288208E-2,9.962682495E0,9.963744790E0
2.541791292E0,-1.161584473E-1,8.592132568E-2,9.954599304E0,9.955647772E0
2.551708292E0,-1.130149841E-1,7.694000244E-2,9.968071289E0,9.969008846E0
2.561625292E0,-1.167572021E-1,8.771759033E-2,9.971065063E0,9.972134432E0
2.571542292E0,-1.119671631E-1,8.113128662E-2,9.962532806E0,9.963492302E0
2.581458292E0,-1.110690308E-1,7.664062500E-2,9.959539032E0,9.960453195E0
2.591375292E0,-1.193019104E-1,7.978408813E-2,9.958191833E0,9.959226026E0
