"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.835560500E0,-2.001338196E-1,3.791615295E-1,9.916129303E0,9.925393562E0
1.845477500E0,-1.511856079E-2,2.538720703E-1,9.954599304E0,9.957847504E0
1.855395500E0,-6.331832886E-2,2.498304749E-1,9.896669769E0,9.900025101E0
1.865312500E0,-1.077758789E-1,2.868035889E-1,9.944869537E0,9.949588034E0
1.875229500E0,-8.652008057E-2,3.303630066E-1,9.997110901E0,1.000294216E1
1.885147500E0,-5.792953491E-2,3.935316467E-1,1.006806335E1,1.007591796E1
1.895064500E0,-1.332229614E-2,4.085005188E-1,1.011042526E1,1.011868317E1
1.904982500E0,-8.292755127E-2,4.317022705E-1,1.003632935E1,1.004595195E1
1.914899500E0,-2.737806702E-1,4.715194702E-1,9.909243622E0,9.924232747E0
1.924816500E0,-2.621049500E-1,4.707710266E-1,1.000654129E1,1.002103752E1
1.934734500E0,-3.089575195E-1,4.974156189E-1,9.977202301E0,9.994370556E0
1.944651500E0,-3.393443298E-1,5.200186157E-1,9.894424438E0,9.913889696E0
1.954569500E0,-2.700384521E-1,5.084925842E-1,9.799072723E0,9.815972275E0
1.964486500E0,-2.291734314E-1,4.535568237E-1,1.003588028E1,1.004873759E1
1.974403500E0,-2.056723022E-1,4.281097412E-1,1.002944366E1,1.004068321E1
1.984321500E0,-1.496887207E-1,4.336482239E-1,9.923314362E0,9.933912895E0
1.994238500E0,-1.880090332E-1,4.390370178E-1,9.948611755E0,9.960069114E0
2.004156500E0,-1.516346741E-1,4.086502075E-1,9.989327087E0,9.998832118E0
2.014073500E0,-1.419049072E-1,4.194277954E-1,9.970166931E0,9.979994254E0
2.023990500E0,-1.627116394E-1,4.236190796E-1,9.999954987E0,1.001024615E1
2.033908500E0,-1.745370483E-1,4.203259277E-1,1.002540207E1,1.003572736E1
2.043825500E0,-1.377136230E-1,4.123924255E-1,9.949360199E0,9.958855402E0
2.053742500E0,-9.864486694E-2,5.917195129E-1,9.989925842E0,1.000792092E1
2.063660500E0,-2.308200073E-1,8.678952026E-1,1.006432114E1,1.010430997E1
2.073577500E0,-3.950285339E-1,8.183482361E-1,1.002240829E1,1.006351874E1
2.083495500E0,-3.619473267E-1,6.665638733E-1,9.934391327E0,9.963304888E0
2.093412500E0,-5.228627014E-1,5.092410278E-1,9.997559967E0,1.002416665E1
2.103329500E0,-5.692662048E-1,4.718188477E-1,9.993967438E0,1.002128047E1
2.113247500E0,-4.917274475E-1,4.429289246E-1,9.893675995E0,9.915785728E0
2.123164500E0,-3.773652649E-1,4.667294312E-1,9.899962921E0,9.918140287E0
2.133082500E0,-2.511776733E-1,3.986210632E-1,9.907896423E0,9.919092726E0
2.142999500E0,-1.868115234E-1,3.370989990E-1,9.929750977E0,9.937227417E0
2.152916500E0,-1.161584473E-1,2.935395813E-1,9.933642883E0,9.938657817E0
2.162834500E0,-1.511856079E-2,2.333647156E-1,9.899663544E0,9.902425255E0
2.172751500E0,6.840774536E-2,2.077679443E-1,9.876162415E0,9.878584472E0
2.182668500E0,1.372645569E-1,2.546205139E-1,9.926308136E0,9.930521959E0
2.192586500E0,2.131567383E-1,3.171903992E-1,9.925859070E0,9.933213167E0
2.202503500E0,1.767823792E-1,5.281018066E-1,9.946216736E0,9.961795565E0
2.212421500E0,-2.571652222E-1,5.122348022E-1,9.894873505E0,9.911460040E0
2.222338500E0,-3.632945251E-1,4.824467468E-1,1.004590942E1,1.006404660E1
2.232255500E0,-3.981719971E-1,5.370831299E-1,9.969568176E0,9.991961211E0
2.242173500E0,-4.230203247E-1,5.450166321E-1,9.885443115E0,9.909489135E0
2.252090500E0,-4.056564331E-1,3.097059631E-1,9.911488953E0,9.924620304E0
2.262008500E0,-3.421884155E-1,2.058219910E-1,9.934091949E0,9.942114386E0
2.271925500E0,-2.592608643E-1,3.125500488E-1,9.942474518E0,9.950763954E0
2.281842500E0,-2.592608643E-1,4.686753845E-1,9.961934052E0,9.976322111E0
2.291760500E0,-2.986289978E-1,6.099815369E-1,1.000279907E1,1.002582894E1
2.301677500E0,-3.406915283E-1,6.734495544E-1,1.000923569E1,1.003764933E1
2.311595500E0,-3.700305176E-1,6.074368286E-1,9.971963196E0,9.997297238E0
2.321512500E0,-4.257147217E-1,6.186634827E-1,9.955198059E0,9.983483657E0
2.331429500E0,-4.197271729E-1,6.165678406E-1,9.985734558E0,1.001355189E1
2.341347500E0,-4.090992737E-1,5.989045715E-1,9.968220978E0,9.994572445E0
2.351264500E0,-4.309538269E-1,6.063890076E-1,9.954898682E0,9.982656790E0
2.361182500E0,-3.573069763E-1,5.110372925E-1,1.000699036E1,1.002639932E1
2.371099500E0,-3.608995056E-1,5.014572144E-1,9.923464050E0,9.942678037E0
2.381016500E0,-3.438349915E-1,5.053491211E-1,9.930200043E0,9.948993573E0
2.390934500E0,-3.195854187E-1,4.968168640E-1,9.997110901E0,1.001454883E1
2.400852000E0,-3.315605164E-1,5.016069031E-1,9.948312378E0,9.966466828E0
2.410770000E0,-3.273692322E-1,5.173242188E-1,9.942025452E0,9.960856642E0
2.420687000E0,-3.582051086E-1,5.161267090E-1,9.946366425E0,9.966187974E0
2.430604000E0,-3.676354980E-1,5.194198608E-1,9.955946503E0,9.976263009E0
2.440522000E0,-3.721261597E-1,5.146298218E-1,9.934690704E0,9.954968665E0
2.450439000E0,-3.776646423E-1,5.152285767E-1,9.945318604E0,9.965814226E0
2.460357000E0,-3.716770935E-1,5.174739075E-1,9.956096191E0,9.976461020E0
2.470274000E0,-3.827540588E-1,5.221142578E-1,9.956694946E0,9.977719089E0
2.480191000E0,-3.797602844E-1,5.266049194E-1,9.945917358E0,9.967085969E0
2.490109000E0,-4.093986511E-1,5.324427795E-1,9.944869537E0,9.967523899E0
2.500026000E0,-4.192781067E-1,5.041516113E-1,9.929750977E0,9.951377665E0
2.509944000E0,-3.863465881E-1,5.186714172E-1,9.928553467E0,9.949595855E0
2.519861000E0,-3.635939026E-1,5.144801331E-1,9.930050354E0,9.950014591E0
2.529778000E0,-3.297642517E-1,5.141807556E-1,9.947114868E0,9.965852724E0
2.539696000E0,-3.058140564E-1,5.505551147E-1,9.947563934E0,9.967480193E0
2.549613000E0,-3.300636292E-1,5.706134033E-1,9.924062805E0,9.945932044E0
2.559531000E0,-3.366499329E-1,5.273533630E-1,9.963730316E0,9.983353973E0
2.569448000E0,-3.023712158E-1,5.120851135E-1,9.986782379E0,1.000447309E1
2.579366000E0,-3.055146790E-1,5.141807556E-1,9.901459808E0,9.919507417E0
2.589283000E0,-3.047662354E-1,5.004093933E-1,9.931397552E0,9.948665708E0
2.599200000E0,-2.883004761E-1,4.887336731E-1,9.970765686E0,9.986898725E0
2.609118000E0,-2.707868958E-1,4.980143738E-1,9.954898682E0,9.971025605E0
2.619035000E0,-2.754272461E-1,5.054988098E-1,9.931696930E0,9.948366354E0
2.628953000E0,-2.821632385E-1,5.104385376E-1,9.949809265E0,9.966888582E0
2.638870000E0,-2.701881409E-1,5.158273315E-1,9.947114868E0,9.964144402E0
2.648787000E0,-2.884501648E-1,5.077441406E-1,9.946965179E0,9.964091724E0
2.658705000E0,-3.047662354E-1,4.978646851E-1,9.955647125E0,9.972745930E0
2.668622000E0,-3.052153015E-1,4.980143738E-1,9.958341522E0,9.975456910E0
2.678540000E0,-3.192860413E-1,4.921765137E-1,9.967322845E0,9.984573401E0
2.688457000E0,-3.288661194E-1,5.069956970E-1,9.952653351E0,9.970983215E0
2.698374000E0,-3.159928894E-1,5.041516113E-1,9.944570160E0,9.962353940E0
2.708292000E0,-3.150947571E-1,5.180726624E-1,9.950857086E0,9.969314958E0
2.718209000E0,-3.382965088E-1,5.245092773E-1,9.948611755E0,9.968170864E0
2.728127000E0,-3.347039795E-1,5.144801331E-1,9.952653351E0,9.971560825E0
2.738044000E0,-3.131488037E-1,5.188211060E-1,9.949360199E0,9.967798447E0
2.747961000E0,-3.150947571E-1,5.023553467E-1,9.946067047E0,9.963728986E0
2.757879000E0,-3.055146790E-1,5.095404053E-1,9.961035919E0,9.978737757E0
2.767796000E0,-2.960842896E-1,5.057981873E-1,9.948312378E0,9.965561544E0
2.777714000E0,-3.224295044E-1,5.107379150E-1,9.949509888E0,9.967826293E0
2.787631000E0,-3.168910217E-1,5.204676819E-1,9.967472534E0,9.986081076E0
2.797549000E0,-3.029699707E-1,5.126838684E-1,9.952353973E0,9.970154721E0
2.807466000E0,-3.366499329E-1,5.239105225E-1,9.951306152E0,9.970772766E0
